message_id,customer_name,customer_email,subject,body,received_at,product,category,department,priority,sentiment,summary,draft_reply,status
fcf486c2-c2cf-4c86-a290-1d27d48d2623,James Wilson,james.wilson930@gmail.com,Assistance required for NovaBuds Lite,"Hello Support Team,

I recently purchased the NovaBuds Lite and I've been experiencing the following issue: Tracking not updating.

I would appreciate your assistance in resolving this problem as soon as possible.

Kind regards.",2026-01-12 18:00:37.189745,NovaBuds Lite,Delivery,Logistics,Medium,Neutral,"Assistance required for NovaBuds Lite: Hello Support Team,

I recently purchased the NovaBuds Lite and I've been experi...","Dear James Wilson,

Thank you for contacting NovaTech Support. Your request has been received and assigned to the appropriate team.

Kind regards,
NovaTech Support",Open
87fc39d0-07d2-405f-a48e-c12e8210e0f8,Olivia Taylor,olivia.taylor255@icloud.com,NovaTab Mini - Requesting return,"Hi NovaTech,

I recently purchased the NovaTab Mini and I've been experiencing the following issue: Requesting return.

I would appreciate your assistance in resolving this problem as soon as possible.

Looking forward to your response.",2026-01-13 01:45:37.233241,NovaTab Mini,Returns,Returns,Low,Neutral,"NovaTab Mini - Requesting return: Hi NovaTech,

I recently purchased the NovaTab Mini and I've been experiencing t...","Dear Olivia Taylor,

Thank you for contacting NovaTech Support. Your request has been received and assigned to the appropriate team.

Kind regards,
NovaTech Support",Open
1655d49c-f789-46ba-bb5b-62e84f34340e,James Wilson,james.wilson829@gmail.com,Assistance required for NovaBook Pro 15,"Hello Support Team,

I recently purchased the NovaBook Pro 15 and I've been experiencing the following issue: Incorrect charge.

I would appreciate your assistance in resolving this problem as soon as possible.

Looking forward to your response.",2026-01-13 22:35:37.235441,NovaBook Pro 15,General Inquiry,Customer Support,Low,Neutral,"Assistance required for NovaBook Pro 15: Hello Support Team,

I recently purchased the NovaBook Pro 15 and I've been expe...","Dear James Wilson,

Thank you for contacting NovaTech Support. Your request has been received and assigned to the appropriate team.

Kind regards,
NovaTech Support",Open
0b4b572e-67bb-4044-a484-1968a469ab8e,James Wilson,james.wilson521@gmail.com,NovaTab Mini - Warranty claim,"Good morning,

I recently purchased the NovaTab Mini and I've been experiencing the following issue: Warranty claim.

I would appreciate your assistance in resolving this problem as soon as possible.

Please help as soon as possible.",2026-01-14 03:14:37.207786,NovaTab Mini,Warranty,Warranty,Medium,Neutral,"NovaTab Mini - Warranty claim: Good morning,

I recently purchased the NovaTab Mini and I've been experiencing ...","Dear James Wilson,

Thank you for contacting NovaTech Support. Your request has been received and assigned to the appropriate team.

Kind regards,
NovaTech Support",Open
c85b9876-c453-4e80-8040-faf1469b31b4,Michael Brown,michael.brown690@yahoo.com,Assistance required for NovaBuds Pro,"Hi NovaTech,

I recently purchased the NovaBuds Pro and I've been experiencing the following issue: Incorrect charge.

I would appreciate your assistance in resolving this problem as soon as possible.

Looking forward to your response.",2026-01-15 01:03:37.201093,NovaBuds Pro,General Inquiry,Customer Support,Low,Neutral,"Assistance required for NovaBuds Pro: Hi NovaTech,

I recently purchased the NovaBuds Pro and I've been experiencing t...","Dear Michael Brown,

Thank you for contacting NovaTech Support. Your request has been received and assigned to the appropriate team.

Kind regards,
NovaTech Support",Open
8e3ed611-e783-4996-bb17-5b79f5b82467,Sophia Johnson,sophia.johnson873@outlook.com,Assistance required for NovaTab 11,"Dear Customer Service,

I recently purchased the NovaTab 11 and I've been experiencing the following issue: Warranty claim.

I would appreciate your assistance in resolving this problem as soon as possible.

Kind regards.",2026-01-15 02:09:37.191971,NovaTab 11,Warranty,Warranty,Medium,Neutral,"Assistance required for NovaTab 11: Dear Customer Service,

I recently purchased the NovaTab 11 and I've been experi...","Dear Sophia Johnson,

Thank you for contacting NovaTech Support. Your request has been received and assigned to the appropriate team.

Kind regards,
NovaTech Support",Open
abf03c45-58f7-42bb-801e-49d0df796ba0,James Wilson,james.wilson166@gmail.com,Problem with NovaWatch Pro,"Hi NovaTech,

I recently purchased the NovaWatch Pro and I've been experiencing the following issue: Repair status.

I would appreciate your assistance in resolving this problem as soon as possible.

Please help as soon as possible.",2026-01-15 13:40:37.209031,NovaWatch Pro,Warranty,Warranty,Low,Neutral,"Problem with NovaWatch Pro: Hi NovaTech,

I recently purchased the NovaWatch Pro and I've been experiencing ...","Dear James Wilson,

Thank you for contacting NovaTech Support. Your request has been received and assigned to the appropriate team.

Kind regards,
NovaTech Support",Open
927e05e0-3df8-40c8-9ae9-521b3a0ccb57,Emily Davis,emily.davis83@gmail.com,Problem with NovaBook Pro 15,"Dear Customer Service,

I recently purchased the NovaBook Pro 15 and I've been experiencing the following issue: Delayed shipment.

I would appreciate your assistance in resolving this problem as soon as possible.

Kind regards.",2026-01-15 23:44:37.227372,NovaBook Pro 15,Delivery,Logistics,Low,Neutral,"Problem with NovaBook Pro 15: Dear Customer Service,

I recently purchased the NovaBook Pro 15 and I've been e...","Dear Emily Davis,

Thank you for contacting NovaTech Support. Your request has been received and assigned to the appropriate team.

Kind regards,
NovaTech Support",Open
213b70a3-0fc0-43ae-b7e7-6db6f5165f1e,Charlotte White,charlotte.white297@yahoo.com,Problem with Wireless Charging Pad,"Good morning,

I recently purchased the Wireless Charging Pad and I've been experiencing the following issue: Device won't power on.

I would appreciate your assistance in resolving this problem as soon as possible.

Please help as soon as possible.",2026-01-16 09:48:37.230393,Wireless Charging Pad,General Inquiry,Customer Support,Low,Neutral,"Problem with Wireless Charging Pad: Good morning,

I recently purchased the Wireless Charging Pad and I've been expe...","Dear Charlotte White,

Thank you for contacting NovaTech Support. Your request has been received and assigned to the appropriate team.

Kind regards,
NovaTech Support",Open
62a4552e-f9e0-4166-b51c-5c7a44b16977,Ava Thomas,ava.thomas755@outlook.com,Need help with my NovaWatch Pro,"Dear Customer Service,

I recently purchased the NovaWatch Pro and I've been experiencing the following issue: Requesting return.

I would appreciate your assistance in resolving this problem as soon as possible.

Thank you.",2026-01-16 10:55:37.211350,NovaWatch Pro,Returns,Returns,Low,Neutral,"Need help with my NovaWatch Pro: Dear Customer Service,

I recently purchased the NovaWatch Pro and I've been exp...","Dear Ava Thomas,

Thank you for contacting NovaTech Support. Your request has been received and assigned to the appropriate team.

Kind regards,
NovaTech Support",Open
e92d4d82-24ca-43ce-96c8-4b66526752a2,Olivia Taylor,olivia.taylor13@icloud.com,Problem with NovaBook Air 13,"Good morning,

I recently purchased the NovaBook Air 13 and I've been experiencing the following issue: Requesting return.

I would appreciate your assistance in resolving this problem as soon as possible.

Looking forward to your response.",2026-01-16 12:36:37.229651,NovaBook Air 13,Returns,Returns,Low,Neutral,"Problem with NovaBook Air 13: Good morning,

I recently purchased the NovaBook Air 13 and I've been experienci...","Dear Olivia Taylor,

Thank you for contacting NovaTech Support. Your request has been received and assigned to the appropriate team.

Kind regards,
NovaTech Support",Open
99a30b3e-b44c-4496-9b85-19d18b64711e,Ava Thomas,ava.thomas716@outlook.com,NovaBook Air 13 - Incorrect charge,"Good morning,

I recently purchased the NovaBook Air 13 and I've been experiencing the following issue: Incorrect charge.

I would appreciate your assistance in resolving this problem as soon as possible.

Looking forward to your response.",2026-01-16 12:56:37.211930,NovaBook Air 13,General Inquiry,Customer Support,Low,Neutral,"NovaBook Air 13 - Incorrect charge: Good morning,

I recently purchased the NovaBook Air 13 and I've been experienci...","Dear Ava Thomas,

Thank you for contacting NovaTech Support. Your request has been received and assigned to the appropriate team.

Kind regards,
NovaTech Support",Open
c0e0434c-fb0f-400d-acda-5cc8de837f03,Ethan Anderson,ethan.anderson716@gmail.com,Assistance required for NovaWatch Active,"Good morning,

I recently purchased the NovaWatch Active and I've been experiencing the following issue: Coverage question.

I would appreciate your assistance in resolving this problem as soon as possible.

Thank you.",2026-01-16 16:26:37.203199,NovaWatch Active,General Inquiry,Customer Support,Low,Neutral,"Assistance required for NovaWatch Active: Good morning,

I recently purchased the NovaWatch Active and I've been experienc...","Dear Ethan Anderson,

Thank you for contacting NovaTech Support. Your request has been received and assigned to the appropriate team.

Kind regards,
NovaTech Support",Open
929e3a67-98e0-4e85-b3c0-6b7f6c719047,Emily Davis,emily.davis569@gmail.com,Laptop Sleeve - Wrong item received,"Dear Customer Service,

I recently purchased the Laptop Sleeve and I've been experiencing the following issue: Wrong item received.

I would appreciate your assistance in resolving this problem as soon as possible.

Kind regards.",2026-01-16 19:05:37.193567,Laptop Sleeve,General Inquiry,Customer Support,Low,Neutral,"Laptop Sleeve - Wrong item received: Dear Customer Service,

I recently purchased the Laptop Sleeve and I've been exp...","Dear Emily Davis,

Thank you for contacting NovaTech Support. Your request has been received and assigned to the appropriate team.

Kind regards,
NovaTech Support",Open
796e00bb-6c3e-46c2-8813-da0238b558cc,Ethan Anderson,ethan.anderson112@gmail.com,Need help with my NovaBuds Lite,"Hello Support Team,

I recently purchased the NovaBuds Lite and I've been experiencing the following issue: Repair status.

I would appreciate your assistance in resolving this problem as soon as possible.

Please help as soon as possible.",2026-01-16 20:45:37.203053,NovaBuds Lite,Warranty,Warranty,Low,Neutral,"Need help with my NovaBuds Lite: Hello Support Team,

I recently purchased the NovaBuds Lite and I've been experi...","Dear Ethan Anderson,

Thank you for contacting NovaTech Support. Your request has been received and assigned to the appropriate team.

Kind regards,
NovaTech Support",Open
deeb068a-d39f-46f4-a086-433b4c3a522a,Ethan Anderson,ethan.anderson961@gmail.com,NovaWatch Pro - Requesting return,"Dear Customer Service,

I recently purchased the NovaWatch Pro and I've been experiencing the following issue: Requesting return.

I would appreciate your assistance in resolving this problem as soon as possible.

Thank you.",2026-01-17 12:26:37.233448,NovaWatch Pro,Returns,Returns,Low,Neutral,"NovaWatch Pro - Requesting return: Dear Customer Service,

I recently purchased the NovaWatch Pro and I've been exp...","Dear Ethan Anderson,

Thank you for contacting NovaTech Support. Your request has been received and assigned to the appropriate team.

Kind regards,
NovaTech Support",Open
d60f4560-9264-4f11-8b09-e91c3ac82fc7,Ethan Anderson,ethan.anderson492@gmail.com,Problem with NovaBook Pro 15,"Good morning,

I recently purchased the NovaBook Pro 15 and I've been experiencing the following issue: Battery drains quickly.

I would appreciate your assistance in resolving this problem as soon as possible.

Thank you.",2026-01-17 15:47:37.237574,NovaBook Pro 15,Technical Support,Technical Support,Medium,Neutral,"Problem with NovaBook Pro 15: Good morning,

I recently purchased the NovaBook Pro 15 and I've been experienci...","Dear Ethan Anderson,

Thank you for contacting NovaTech Support. Your request has been received and assigned to the appropriate team.

Kind regards,
NovaTech Support",Open
43618594-02bc-4cb2-829d-638da461e28c,Sophia Johnson,sophia.johnson484@outlook.com,Need help with my NovaWatch Pro,"Good morning,

I recently purchased the NovaWatch Pro and I've been experiencing the following issue: Incorrect charge.

I would appreciate your assistance in resolving this problem as soon as possible.

Please help as soon as possible.",2026-01-17 17:51:37.195262,NovaWatch Pro,General Inquiry,Customer Support,Low,Neutral,"Need help with my NovaWatch Pro: Good morning,

I recently purchased the NovaWatch Pro and I've been experiencing...","Dear Sophia Johnson,

Thank you for contacting NovaTech Support. Your request has been received and assigned to the appropriate team.

Kind regards,
NovaTech Support",Open
8c0bd311-31d3-4a2b-b662-97ae99d26f12,Charlotte White,charlotte.white493@yahoo.com,Software crashes on my 65W Fast Charger,"Dear Customer Service,

I recently purchased the 65W Fast Charger and I've been experiencing the following issue: Software crashes.

I would appreciate your assistance in resolving this problem as soon as possible.

Please help as soon as possible.",2026-01-18 02:11:37.215233,65W Fast Charger,Technical Support,Technical Support,High,Negative,"Software crashes on my 65W Fast Charger: Dear Customer Service,

I recently purchased the 65W Fast Charger and I've been ...","Dear Charlotte White,

Thank you for contacting NovaTech Support. Your request has been received and assigned to the appropriate team.

Kind regards,
NovaTech Support",Open
